,Country_name,Regional_indicator,Ladder_score,Social_support,Healthy_life_expectancy,Perceptions_of_corruption,year
496,Ecuador,Unspecified,5.809,0.8079999999999999,68.8,0.8390000000000001,2019
497,Ecuador,Unspecified,5.354,0.804,69.1,0.855,2020
511,Egypt,Unspecified,4.328,0.772,62.0,,2019
512,Egypt,Unspecified,4.4719999999999995,0.6729999999999999,62.3,,2020
526,El Salvador,Unspecified,6.455,0.764,66.4,0.682,2019
527,El Salvador,Unspecified,5.462000000000001,0.696,66.7,0.583,2020
540,Estonia,Unspecified,6.035,0.934,68.8,0.5760000000000001,2019
541,Estonia,Unspecified,6.452999999999999,0.958,69.0,0.39799999999999996,2020
549,Ethiopia,Unspecified,4.1,0.748,59.0,0.732,2019
550,Ethiopia,Unspecified,4.5489999999999995,0.823,59.5,0.784,2020
562,Finland,Unspecified,7.78,0.937,72.0,0.195,2019
563,Finland,Unspecified,7.888999999999999,0.9620000000000001,72.1,0.16399999999999998,2020
577,France,Unspecified,6.69,0.958,74.0,0.568,2019
578,France,Unspecified,6.7139999999999995,0.9470000000000001,74.2,0.565,2020
587,Gabon,Unspecified,4.914,0.763,60.2,0.846,2019
590,Gambia,Unspecified,5.164,0.6940000000000001,55.3,0.7979999999999999,2019
604,Georgia,Unspecified,4.8919999999999995,0.675,64.3,0.647,2019
605,Georgia,Unspecified,5.122999999999999,0.718,64.1,0.583,2020
619,Germany,Unspecified,7.035,0.8859999999999999,72.5,0.462,2019
620,Germany,Unspecified,7.312,0.905,72.8,0.424,2020
634,Ghana,Unspecified,4.967,0.746,57.6,0.857,2019
635,Ghana,Unspecified,5.319,0.643,58.0,0.847,2020
648,Greece,Unspecified,5.952000000000001,0.8909999999999999,72.6,0.848,2019
649,Greece,Unspecified,5.787999999999999,0.779,72.8,0.764,2020
663,Guatemala,Unspecified,6.2620000000000005,0.774,65.1,0.773,2019
672,Guinea,Unspecified,4.768,0.655,55.5,0.7559999999999999,2019
698,Honduras,Unspecified,5.93,0.797,67.4,0.815,2019
708,Hong Kong S.A.R. of China,Unspecified,5.659,0.856,,0.43200000000000005,2019
709,Hong Kong S.A.R. of China,Unspecified,5.295,0.813,,0.38,2020
722,Hungary,Unspecified,6.0,0.9470000000000001,68.0,0.884,2019
723,Hungary,Unspecified,6.037999999999999,0.943,68.4,0.836,2020
730,Iceland,Unspecified,7.5329999999999995,0.982,73.0,0.6990000000000001,2019
731,Iceland,Unspecified,7.575,0.983,73.0,0.644,2020
745,India,Unspecified,3.2489999999999997,0.561,60.5,0.752,2019
746,India,Unspecified,4.225,0.617,60.9,0.78,2020
760,Indonesia,Unspecified,5.347,0.802,62.3,0.861,2019
772,Iran,Unspecified,5.006,0.698,66.3,0.728,2019
773,Iran,Unspecified,4.865,0.757,66.6,0.71,2020
785,Iraq,Unspecified,4.785,0.708,61.4,0.8490000000000001,2020
798,Ireland,Unspecified,7.255,0.9440000000000001,72.4,0.373,2019
799,Ireland,Unspecified,7.035,0.96,72.5,0.35600000000000004,2020
813,Israel,Unspecified,7.332000000000001,0.946,73.5,0.743,2019
814,Israel,Unspecified,7.195,0.9590000000000001,73.7,0.748,2020
828,Italy,Unspecified,6.445,0.838,73.8,0.866,2019
829,Italy,Unspecified,6.4879999999999995,0.89,74.0,0.8440000000000001,2020
837,Ivory Coast,Unspecified,5.392,0.679,50.1,0.799,2019
838,Ivory Coast,Unspecified,5.257000000000001,0.613,50.7,0.777,2020
844,Jamaica,Unspecified,6.309,0.878,67.5,0.885,2019
